"#Data from Experiment 1 of Sprouse, Jon, Matt Wagers, & Colin Phillips. 2012. A test of the relation between working memory capacity and syntactic island effects. Language 88(1): 82-123.",,,,,,,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,,,,,,
,,,,,,,,,,,
subject,gender,age,recall,survey,condition,subdesign,structure,distance,item,raw.judgment,zscores
99,M,22,3.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.903656877
99,M,22,3.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,2,-0.903656877
100,F,21,3,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-1.269939014
100,F,21,3,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,2,-1.269939014
101,F,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-0.706272437
101,F,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,5,-0.168160104
102,M,24,4,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-0.919482393
102,M,24,4,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-0.919482393
103,M,22,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.719478019
103,M,22,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,2,-1.135561693
104,F,23,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.588405941
104,F,23,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.588405941
105,F,21,4.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.430788673
105,F,21,4.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,4,-0.260143395
106,M,25,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.379221907
106,M,25,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,6,0.567914903
107,M,21,5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.394498592
107,M,21,5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.183495776
108,F,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.786964093
108,F,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.221151179
109,F,23,5.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.1768795
109,F,23,5.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,7,1.226959479
110,F,25,6,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.217196088
110,F,25,6,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,2,-0.787597469
111,M,21,4,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.715968949
111,M,21,4,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,2,-1.18038124
112,F,21,4.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.183770192
112,F,21,4.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.183770192
113,M,19,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.201218957
113,M,19,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.201218957
114,F,19,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-0.213551705
114,F,19,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.832048836
115,M,20,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,5,0
115,M,20,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,3,-0.788997184
116,M,20,5.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.889858318
116,M,20,5.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,2,-0.889858318
